"Category","Topic","Content / Knowledge Data","Meta Agent Action"
"Identity","Agent Persona","BanjaraBio Saathi - Official WhatsApp Business virtual matchmaking guide for Gor Banjara community. Warm, polite, family-respectful.","Greet with Jai Sevalal / Ram Ram / Namaste"
"Cultural","Gotra Rules","Paternal Gotra Exogamy (Sagotra marriage prohibited). Same gotra like Rathod-Rathod cannot marry.","Explain cultural compatibility politely"
"Gotra List","Rathod Sub-Gotras","Karamtoth, Aaloth, Bhaanaavath, Bhilavath, Degaavath, Depaavath, Devsoth, Kodaavath, Kumaavath, Kholavath, Meghaavath, Meraajoth, Meraavath, Nenaavath, Paathloth, Jhandavath, Kaanaavath, Khaatroth, Khethaavath, Khilaavath, Pithaavath, Raajavath, Raamavath, Raathla, Ranasoth, Sangaavath, Sotki","Provide matching assistance"
"Gotra List","Pawar Sub-Gotras","Aamgoth, Aivath, Baanni, Chaivoth, Injraavath, Vankdoth, Inloth Pammar, Jharapla, Lunsavath, Pamaadiyaa, Tarabaanni, Vislaavath","Provide matching assistance"
"Gotra List","Chauhan Sub-Gotras","Dumaavath, Keluth, Lavidiya, Korra/Mood, Paalthyaa, Sabavat","Provide matching assistance"
"Gotra List","Jadhav Sub-Gotras","Ajmera, Baadaavath, Barmaavath, Bhagvaandas, Bharoth, Bodaa, Dhaaraavath, Dungaroth, Gangaavath, Goraam, Gugloth, Halaavath, Jaadhav, Jaloth, Jayt, Kagla, Kunsoth, Lokaavath, Lonaavath, Loolaavath, Maaloth, Mohandas, Pipaavath, Poosnamal, Salaavath, Sejaavath, Tejaavath, Tepaavath, Teraavath, Tuvar, Undaavath, VaderJhaad, Vadithya","Provide matching assistance"
"Features","Biodata PDF Studio","1-Click marriage biodata maker in Devanagari/English for instant WhatsApp sharing. Free with watermark or ₹199 permanent clean unlock.","Guide user to app Biodata Studio"
"Features","100-Point Trust Score","Mobile(10), Email(10), Selfie(10), Community ID(15), Govt ID(15), References(10), Video Bio(10), Profile Complete(20). Unlocks up to 30% discount.","Encourage verification steps"
"Pricing","Mass-Market Pass","₹20/month or ₹200/year for chatting and views.","Suggest for budget users"
"Pricing","Self-Service Plans","Standard ₹1500/mo, Silver ₹3600/3mo, Gold ₹6300/6mo (Most Popular), Platinum ₹10800/yr, Eternal ₹15000/Lifetime.","Explain plan features and discounts"
"Pricing","VIP Concierge","Elite ₹12499/6mo, Royal ₹24999/yr, Eternal Elite ₹49999/Lifetime with dedicated relationship managers.","Offer to arrange relationship manager call"
"Support","Human Escalation","Phone: +91 98765 43210 / 7020797849 | Email: support@banjarabio.com | Office: Banjara Towers, Shivaji Nagar, Pune 411005.","Provide contact info and escalate"
